region,category,parameter,mode,powertrain,year,unit,value
Latvia,Historical,EV sales,Cars,PHEV,2015,Vehicles,9
Norway,Historical,EV sales,Cars,FCEV,2015,Vehicles,9
Sweden,Historical,EV sales,Buses,BEV,2015,Vehicles,9
Mexico,Historical,EV sales,Cars,PHEV,2015,Vehicles,7
Sweden,Historical,EV sales,Vans,PHEV,2015,Vehicles,7
Canada,Historical,EV sales,Vans,PHEV,2015,Vehicles,5
EU27,Historical,EV sales,Buses,PHEV,2015,Vehicles,5
Sweden,Historical,EV sales,Buses,PHEV,2015,Vehicles,5
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4
Costa Rica,Historical,EV sales,Cars,BEV,2015,Vehicles,4
Netherlands,Historical,EV sales,Trucks,BEV,2015,Vehicles,4
Brazil,Historical,EV sales,Vans,BEV,2015,Vehicles,3
Colombia,Historical,EV sales,Cars,PHEV,2015,Vehicles,3
Israel,Historical,EV sales,Cars,BEV,2015,Vehicles,3
Seychelles,Historical,EV sales,Cars,BEV,2015,Vehicles,3
United Kingdom,Historical,EV sales,Trucks,BEV,2015,Vehicles,3
Belgium,Historical,EV sales,Cars,FCEV,2015,Vehicles,2
Germany,Historical,EV sales,Vans,PHEV,2015,Vehicles,2
Japan,Historical,EV sales,Buses,BEV,2015,Vehicles,2
Korea,Historical,EV sales,Buses,BEV,2015,Vehicles,2
Poland,Historical,EV sales,Vans,PHEV,2015,Vehicles,2
Spain,Historical,EV sales,Buses,BEV,2015,Vehicles,2
Canada,Historical,EV sales,Vans,BEV,2015,Vehicles,1
France,Historical,EV sales,Trucks,BEV,2015,Vehicles,1
Italy,Historical,EV sales,Cars,FCEV,2015,Vehicles,1
Sweden,Historical,EV sales,Cars,FCEV,2015,Vehicles,1
China,Historical,EV sales,Cars,BEV,2016,Vehicles,260000
USA,Historical,EV sales,Cars,BEV,2016,Vehicles,87000
China,Historical,EV sales,Cars,PHEV,2016,Vehicles,79000
China,Historical,EV sales,Buses,BEV,2016,Vehicles,76000
USA,Historical,EV sales,Cars,PHEV,2016,Vehicles,73000
EU27,Historical,EV sales,Cars,PHEV,2016,Vehicles,65000
EU27,Historical,EV sales,Cars,BEV,2016,Vehicles,54000
China,Historical,EV sales,Trucks,BEV,2016,Vehicles,46000
United Kingdom,Historical,EV sales,Cars,PHEV,2016,Vehicles,29000
Norway,Historical,EV sales,Cars,BEV,2016,Vehicles,24000
France,Historical,EV sales,Cars,BEV,2016,Vehicles,23000
Norway,Historical,EV sales,Cars,PHEV,2016,Vehicles,21000
Netherlands,Historical,EV sales,Cars,PHEV,2016,Vehicles,18000
Japan,Historical,EV sales,Cars,BEV,2016,Vehicles,15000
Germany,Historical,EV sales,Cars,PHEV,2016,Vehicles,13000
China,Historical,EV sales,Vans,BEV,2016,Vehicles,11000
Germany,Historical,EV sales,Cars,BEV,2016,Vehicles,11000
EU27,Historical,EV sales,Vans,BEV,2016,Vehicles,10000
Sweden,Historical,EV sales,Cars,PHEV,2016,Vehicles,10000
United Kingdom,Historical,EV sales,Cars,BEV,2016,Vehicles,10000
Japan,Historical,EV sales,Cars,PHEV,2016,Vehicles,9400
China,Historical,EV sales,Buses,PHEV,2016,Vehicles,7600
France,Historical,EV sales,Cars,PHEV,2016,Vehicles,7600
Belgium,Historical,EV sales,Cars,PHEV,2016,Vehicles,7100
Canada,Historical,EV sales,Cars,PHEV,2016,Vehicles,6400
France,Historical,EV sales,Vans,BEV,2016,Vehicles,5500
Canada,Historical,EV sales,Cars,BEV,2016,Vehicles,5200
Korea,Historical,EV sales,Cars,BEV,2016,Vehicles,4700
Netherlands,Historical,EV sales,Cars,BEV,2016,Vehicles,4000
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800
Switzerland,Historical,EV sales,Cars,BEV,2016,Vehicles,3300
Sweden,Historical,EV sales,Cars,BEV,2016,Vehicles,2900
Switzerland,Historical,EV sales,Cars,PHEV,2016,Vehicles,2800
Germany,Historical,EV sales,Vans,BEV,2016,Vehicles,2400
Belgium,Historical,EV sales,Cars,BEV,2016,Vehicles,2100
Spain,Historical,EV sales,Cars,BEV,2016,Vehicles,2000
Spain,Historical,EV sales,Cars,PHEV,2016,Vehicles,1500
Italy,Historical,EV sales,Cars,BEV,2016,Vehicles,1400
Denmark,Historical,EV sales,Cars,BEV,2016,Vehicles,1300
Italy,Historical,EV sales,Cars,PHEV,2016,Vehicles,1300
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200
Finland,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200
New Zealand,Historical,EV sales,Cars,BEV,2016,Vehicles,1200
Japan,Historical,EV sales,Cars,FCEV,2016,Vehicles,1100
USA,Historical,EV sales,Cars,FCEV,2016,Vehicles,1100
Portugal,Historical,EV sales,Cars,PHEV,2016,Vehicles,1000
United Kingdom,Historical,EV sales,Vans,BEV,2016,Vehicles,1000
Portugal,Historical,EV sales,Cars,BEV,2016,Vehicles,800
Iceland,Historical,EV sales,Cars,PHEV,2016,Vehicles,780
Italy,Historical,EV sales,Vans,BEV,2016,Vehicles,780
India,Historical,EV sales,Cars,BEV,2016,Vehicles,730
Spain,Historical,EV sales,Vans,BEV,2016,Vehicles,720
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670
Norway,Historical,EV sales,Vans,BEV,2016,Vehicles,640
Denmark,Historical,EV sales,Cars,PHEV,2016,Vehicles,570
Mexico,Historical,EV sales,Cars,PHEV,2016,Vehicles,520
USA,Historical,EV sales,Buses,BEV,2016,Vehicles,500
EU27,Historical,EV sales,Buses,BEV,2016,Vehicles,470
Poland,Historical,EV sales,Cars,PHEV,2016,Vehicles,400
Ireland,Historical,EV sales,Cars,BEV,2016,Vehicles,390
Iceland,Historical,EV sales,Cars,BEV,2016,Vehicles,380
New Zealand,Historical,EV sales,Cars,PHEV,2016,Vehicles,340
Korea,Historical,EV sales,Cars,PHEV,2016,Vehicles,330
Japan,Historical,EV sales,Vans,BEV,2016,Vehicles,320
Ireland,Historical,EV sales,Cars,PHEV,2016,Vehicles,300
Netherlands,Historical,EV sales,Vans,BEV,2016,Vehicles,290
South Africa,Historical,EV sales,Cars,PHEV,2016,Vehicles,280
Mexico,Historical,EV sales,Cars,BEV,2016,Vehicles,250
Finland,Historical,EV sales,Cars,BEV,2016,Vehicles,220
Czech Republic,Historical,EV sales,Cars,BEV,2016,Vehicles,200
India,Historical,EV sales,Vans,BEV,2016,Vehicles,180
Hungary,Historical,EV sales,Cars,BEV,2016,Vehicles,170
Hungary,Historical,EV sales,Cars,PHEV,2016,Vehicles,170
EU27,Historical,EV sales,Buses,PHEV,2016,Vehicles,150
Belgium,Historical,EV sales,Vans,BEV,2016,Vehicles,140
Slovenia,Historical,EV sales,Cars,BEV,2016,Vehicles,140
United Kingdom,Historical,EV sales,Buses,PHEV,2016,Vehicles,140
Brazil,Historical,EV sales,Cars,BEV,2016,Vehicles,130
EU27,Historical,EV sales,Cars,FCEV,2016,Vehicles,130
Germany,Historical,EV sales,Buses,PHEV,2016,Vehicles,120
Germany,Historical,EV sales,Buses,BEV,2016,Vehicles,110
Poland,Historical,EV sales,Cars,BEV,2016,Vehicles,110
South Africa,Historical,EV sales,Cars,BEV,2016,Vehicles,100
EU27,Historical,EV sales,Vans,FCEV,2016,Vehicles,99
France,Historical,EV sales,Vans,FCEV,2016,Vehicles,99
Switzerland,Historical,EV sales,Vans,BEV,2016,Vehicles,85
Turkiye,Historical,EV sales,Cars,PHEV,2016,Vehicles,83
Denmark,Historical,EV sales,Vans,PHEV,2016,Vehicles,81
EU27,Historical,EV sales,Vans,PHEV,2016,Vehicles,81
Netherlands,Historical,EV sales,Buses,BEV,2016,Vehicles,80
United Kingdom,Historical,EV sales,Vans,PHEV,2016,Vehicles,78
France,Historical,EV sales,Buses,BEV,2016,Vehicles,74
Romania,Historical,EV sales,Cars,BEV,2016,Vehicles,74
Lithuania,Historical,EV sales,Cars,BEV,2016,Vehicles,64
Israel,Historical,EV sales,Cars,PHEV,2016,Vehicles,63
Slovakia,Historical,EV sales,Cars,BEV,2016,Vehicles,59
United Kingdom,Historical,EV sales,Buses,BEV,2016,Vehicles,59
Korea,Historical,EV sales,Cars,FCEV,2016,Vehicles,58
Denmark,Historical,EV sales,Vans,BEV,2016,Vehicles,57
Greece,Historical,EV sales,Cars,PHEV,2016,Vehicles,56
EU27,Historical,EV sales,Trucks,BEV,2016,Vehicles,54
Brazil,Historical,EV sales,Cars,PHEV,2016,Vehicles,47
Slovenia,Historical,EV sales,Cars,PHEV,2016,Vehicles,46
Sweden,Historical,EV sales,Vans,BEV,2016,Vehicles,45
Turkiye,Historical,EV sales,Cars,BEV,2016,Vehicles,44
Greece,Historical,EV sales,Cars,BEV,2016,Vehicles,41
Italy,Historical,EV sales,Buses,BEV,2016,Vehicles,38
Estonia,Historical,EV sales,Cars,BEV,2016,Vehicles,35
France,Historical,EV sales,Cars,FCEV,2016,Vehicles,34
Sweden,Historical,EV sales,Buses,BEV,2016,Vehicles,33
Korea,Historical,EV sales,Buses,BEV,2016,Vehicles,30
Colombia,Historical,EV sales,Cars,BEV,2016,Vehicles,28
EU27,Historical,EV sales,Buses,FCEV,2016,Vehicles,27
Spain,Historical,EV sales,Buses,BEV,2016,Vehicles,27
Netherlands,Historical,EV sales,Trucks,BEV,2016,Vehicles,26
Switzerland,Historical,EV sales,Cars,FCEV,2016,Vehicles,26
Colombia,Historical,EV sales,Cars,PHEV,2016,Vehicles,25
India,Historical,EV sales,Buses,BEV,2016,Vehicles,25
Latvia,Historical,EV sales,Cars,BEV,2016,Vehicles,22
Norway,Historical,EV sales,Cars,FCEV,2016,Vehicles,20
United Kingdom,Historical,EV sales,Buses,FCEV,2016,Vehicles,20
Chile,Historical,EV sales,Cars,BEV,2016,Vehicles,18
Latvia,Historical,EV sales,Cars,PHEV,2016,Vehicles,18
Sweden,Historical,EV sales,Buses,PHEV,2016,Vehicles,17
Germany,Historical,EV sales,Buses,FCEV,2016,Vehicles,16
Poland,Historical,EV sales,Vans,BEV,2016,Vehicles,16
Denmark,Historical,EV sales,Cars,FCEV,2016,Vehicles,14
Korea,Historical,EV sales,Vans,BEV,2016,Vehicles,14
Norway,Historical,EV sales,Buses,BEV,2016,Vehicles,13
Spain,Historical,EV sales,Trucks,BEV,2016,Vehicles,13
Costa Rica,Historical,EV sales,Cars,BEV,2016,Vehicles,12
Seychelles,Historical,EV sales,Cars,BEV,2016,Vehicles,12
United Kingdom,Historical,EV sales,Cars,FCEV,2016,Vehicles,10
Chile,Historical,EV sales,Cars,PHEV,2016,Vehicles,9
Bulgaria,Historical,EV sales,Cars,PHEV,2016,Vehicles,8
Japan,Historical,EV sales,Buses,BEV,2016,Vehicles,8
United Kingdom,Historical,EV sales,Trucks,BEV,2016,Vehicles,8
Belgium,Historical,EV sales,Cars,FCEV,2016,Vehicles,7
Netherlands,Historical,EV sales,Cars,FCEV,2016,Vehicles,7
Brazil,Historical,EV sales,Vans,BEV,2016,Vehicles,6
France,Historical,EV sales,Trucks,BEV,2016,Vehicles,6
Bulgaria,Historical,EV sales,Cars,BEV,2016,Vehicles,5
Canada,Historical,EV sales,Buses,BEV,2016,Vehicles,5
Israel,Historical,EV sales,Cars,BEV,2016,Vehicles,5
Israel,Historical,EV sales,Buses,BEV,2016,Vehicles,5
Switzerland,Historical,EV sales,Buses,FCEV,2016,Vehicles,5
Switzerland,Historical,EV sales,Buses,BEV,2016,Vehicles,5
Denmark,Historical,EV sales,Buses,BEV,2016,Vehicles,3
Sweden,Historical,EV sales,Cars,FCEV,2016,Vehicles,3
Belgium,Historical,EV sales,Trucks,BEV,2016,Vehicles,1
France,Historical,EV sales,Buses,PHEV,2016,Vehicles,1
Netherlands,Historical,EV sales,Buses,FCEV,2016,Vehicles,1
China,Historical,EV sales,Cars,BEV,2017,Vehicles,470000
China,Historical,EV sales,Cars,PHEV,2017,Vehicles,110000
USA,Historical,EV sales,Cars,BEV,2017,Vehicles,100000
USA,Historical,EV sales,Cars,PHEV,2017,Vehicles,94000
EU27,Historical,EV sales,Cars,PHEV,2017,Vehicles,89000
China,Historical,EV sales,Buses,BEV,2017,Vehicles,88000
EU27,Historical,EV sales,Cars,BEV,2017,Vehicles,85000
China,Historical,EV sales,Trucks,BEV,2017,Vehicles,71000
China,Historical,EV sales,Vans,BEV,2017,Vehicles,68000
Japan,Historical,EV sales,Cars,PHEV,2017,Vehicles,36000
United Kingdom,Historical,EV sales,Cars,PHEV,2017,Vehicles,35000
Norway,Historical,EV sales,Cars,BEV,2017,Vehicles,33000
Germany,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000
Norway,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000
France,Historical,EV sales,Cars,BEV,2017,Vehicles,26000
Germany,Historical,EV sales,Cars,BEV,2017,Vehicles,25000
Japan,Historical,EV sales,Cars,BEV,2017,Vehicles,18000
Sweden,Historical,EV sales,Cars,PHEV,2017,Vehicles,16000
EU27,Historical,EV sales,Vans,BEV,2017,Vehicles,14000
Korea,Historical,EV sales,Cars,BEV,2017,Vehicles,14000
United Kingdom,Historical,EV sales,Cars,BEV,2017,Vehicles,14000
Belgium,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000
France,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000
Canada,Historical,EV sales,Cars,BEV,2017,Vehicles,8700
Netherlands,Historical,EV sales,Cars,BEV,2017,Vehicles,8700
Canada,Historical,EV sales,Cars,PHEV,2017,Vehicles,8000
France,Historical,EV sales,Vans,BEV,2017,Vehicles,6000
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400
Switzerland,Historical,EV sales,Cars,BEV,2017,Vehicles,4800
Germany,Historical,EV sales,Vans,BEV,2017,Vehicles,4500
Sweden,Historical,EV sales,Cars,BEV,2017,Vehicles,4400
Spain,Historical,EV sales,Cars,BEV,2017,Vehicles,3900
Switzerland,Historical,EV sales,Cars,PHEV,2017,Vehicles,3600
Spain,Historical,EV sales,Cars,PHEV,2017,Vehicles,3500
Italy,Historical,EV sales,Cars,PHEV,2017,Vehicles,2900
New Zealand,Historical,EV sales,Cars,BEV,2017,Vehicles,2900
Belgium,Historical,EV sales,Cars,BEV,2017,Vehicles,2700
Finland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2600
Netherlands,Historical,EV sales,Cars,PHEV,2017,Vehicles,2500
Portugal,Historical,EV sales,Cars,PHEV,2017,Vehicles,2500
USA,Historical,EV sales,Cars,FCEV,2017,Vehicles,2300
Iceland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2200
Italy,Historical,EV sales,Cars,BEV,2017,Vehicles,2000
Portugal,Historical,EV sales,Cars,BEV,2017,Vehicles,1900
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700
Israel,Historical,EV sales,Cars,PHEV,2017,Vehicles,1500
United Kingdom,Historical,EV sales,Vans,BEV,2017,Vehicles,1300
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200
India,Historical,EV sales,Vans,BEV,2017,Vehicles,1200
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100
Mexico,Historical,EV sales,Cars,PHEV,2017,Vehicles,970
India,Historical,EV sales,Cars,BEV,2017,Vehicles,920
Japan,Historical,EV sales,Cars,FCEV,2017,Vehicles,850
Iceland,Historical,EV sales,Cars,BEV,2017,Vehicles,840
Spain,Historical,EV sales,Vans,BEV,2017,Vehicles,840
Norway,Historical,EV sales,Vans,BEV,2017,Vehicles,770
Hungary,Historical,EV sales,Cars,BEV,2017,Vehicles,750
Denmark,Historical,EV sales,Cars,BEV,2017,Vehicles,710
Korea,Historical,EV sales,Cars,PHEV,2017,Vehicles,670
Netherlands,Historical,EV sales,Vans,BEV,2017,Vehicles,650
Poland,Historical,EV sales,Cars,PHEV,2017,Vehicles,640
Denmark,Historical,EV sales,Cars,PHEV,2017,Vehicles,620
Ireland,Historical,EV sales,Cars,BEV,2017,Vehicles,620
New Zealand,Historical,EV sales,Cars,PHEV,2017,Vehicles,540
Finland,Historical,EV sales,Cars,BEV,2017,Vehicles,500
Italy,Historical,EV sales,Vans,BEV,2017,Vehicles,500
Hungary,Historical,EV sales,Cars,PHEV,2017,Vehicles,440
Poland,Historical,EV sales,Cars,BEV,2017,Vehicles,440
Czech Republic,Historical,EV sales,Cars,BEV,2017,Vehicles,390
China,Historical,EV sales,Buses,FCEV,2017,Vehicles,380
EU27,Historical,EV sales,Buses,BEV,2017,Vehicles,340
Ireland,Historical,EV sales,Cars,PHEV,2017,Vehicles,330
Japan,Historical,EV sales,Vans,BEV,2017,Vehicles,320
Brazil,Historical,EV sales,Cars,PHEV,2017,Vehicles,290
Slovenia,Historical,EV sales,Cars,BEV,2017,Vehicles,290
EU27,Historical,EV sales,Cars,FCEV,2017,Vehicles,270
China,Historical,EV sales,Buses,PHEV,2017,Vehicles,240
Mexico,Historical,EV sales,Cars,BEV,2017,Vehicles,230
Switzerland,Historical,EV sales,Vans,BEV,2017,Vehicles,220
Slovakia,Historical,EV sales,Cars,BEV,2017,Vehicles,210
Portugal,Historical,EV sales,Vans,BEV,2017,Vehicles,200
Sweden,Historical,EV sales,Vans,BEV,2017,Vehicles,200
Romania,Historical,EV sales,Cars,BEV,2017,Vehicles,190
USA,Historical,EV sales,Buses,BEV,2017,Vehicles,190
Slovenia,Historical,EV sales,Cars,PHEV,2017,Vehicles,170
Netherlands,Historical,EV sales,Buses,BEV,2017,Vehicles,150
Brazil,Historical,EV sales,Cars,BEV,2017,Vehicles,140
Greece,Historical,EV sales,Cars,PHEV,2017,Vehicles,140
Belgium,Historical,EV sales,Vans,BEV,2017,Vehicles,130
Israel,Historical,EV sales,Cars,BEV,2017,Vehicles,130
South Africa,Historical,EV sales,Cars,PHEV,2017,Vehicles,130
Chile,Historical,EV sales,Cars,BEV,2017,Vehicles,120
United Kingdom,Historical,EV sales,Vans,PHEV,2017,Vehicles,94
Colombia,Historical,EV sales,Cars,BEV,2017,Vehicles,92
Germany,Historical,EV sales,Cars,FCEV,2017,Vehicles,82
Turkiye,Historical,EV sales,Cars,BEV,2017,Vehicles,77
Korea,Historical,EV sales,Cars,FCEV,2017,Vehicles,75
Denmark,Historical,EV sales,Vans,BEV,2017,Vehicles,70
Bulgaria,Historical,EV sales,Cars,BEV,2017,Vehicles,68
South Africa,Historical,EV sales,Cars,BEV,2017,Vehicles,68
Colombia,Historical,EV sales,Cars,PHEV,2017,Vehicles,56
Lithuania,Historical,EV sales,Cars,BEV,2017,Vehicles,52
Greece,Historical,EV sales,Cars,BEV,2017,Vehicles,50
Finland,Historical,EV sales,Vans,BEV,2017,Vehicles,49
France,Historical,EV sales,Cars,FCEV,2017,Vehicles,46
EU27,Historical,EV sales,Trucks,BEV,2017,Vehicles,43
Israel,Historical,EV sales,Buses,BEV,2017,Vehicles,40
United Kingdom,Historical,EV sales,Buses,BEV,2017,Vehicles,39
Bulgaria,Historical,EV sales,Cars,PHEV,2017,Vehicles,38
EU27,Historical,EV sales,Buses,PHEV,2017,Vehicles,34
Turkiye,Historical,EV sales,Cars,PHEV,2017,Vehicles,34
United Kingdom,Historical,EV sales,Cars,FCEV,2017,Vehicles,34
Norway,Historical,EV sales,Cars,FCEV,2017,Vehicles,30
Seychelles,Historical,EV sales,Cars,BEV,2017,Vehicles,30
Germany,Historical,EV sales,Buses,BEV,2017,Vehicles,29
Italy,Historical,EV sales,Buses,BEV,2017,Vehicles,29
Poland,Historical,EV sales,Vans,BEV,2017,Vehicles,28
EU27,Historical,EV sales,Vans,PHEV,2017,Vehicles,27
Estonia,Historical,EV sales,Cars,BEV,2017,Vehicles,26
EU27,Historical,EV sales,Vans,FCEV,2017,Vehicles,26
Costa Rica,Historical,EV sales,Cars,BEV,2017,Vehicles,25
France,Historical,EV sales,Vans,FCEV,2017,Vehicles,25
Denmark,Historical,EV sales,Vans,PHEV,2017,Vehicles,24
Latvia,Historical,EV sales,Cars,BEV,2017,Vehicles,22
Estonia,Historical,EV sales,Cars,PHEV,2017,Vehicles,20
India,Historical,EV sales,Buses,BEV,2017,Vehicles,20
Brazil,Historical,EV sales,Vans,BEV,2017,Vehicles,18
Latvia,Historical,EV sales,Cars,PHEV,2017,Vehicles,18
Netherlands,Historical,EV sales,Trucks,BEV,2017,Vehicles,18
Norway,Historical,EV sales,Buses,BEV,2017,Vehicles,18
United Kingdom,Historical,EV sales,Buses,PHEV,2017,Vehicles,18
France,Historical,EV sales,Buses,BEV,2017,Vehicles,17
France,Historical,EV sales,Trucks,BEV,2017,Vehicles,16
Chile,Historical,EV sales,Cars,PHEV,2017,Vehicles,15
Denmark,Historical,EV sales,Cars,FCEV,2017,Vehicles,15
Sweden,Historical,EV sales,Cars,FCEV,2017,Vehicles,14
Sweden,Historical,EV sales,Buses,BEV,2017,Vehicles,12
Belgium,Historical,EV sales,Cars,FCEV,2017,Vehicles,11
Canada,Historical,EV sales,Buses,BEV,2017,Vehicles,11
EU27,Historical,EV sales,Buses,FCEV,2017,Vehicles,11
Japan,Historical,EV sales,Buses,BEV,2017,Vehicles,10
Germany,Historical,EV sales,Buses,FCEV,2017,Vehicles,8
Spain,Historical,EV sales,Buses,BEV,2017,Vehicles,8
Netherlands,Historical,EV sales,Cars,FCEV,2017,Vehicles,7
Spain,Historical,EV sales,Buses,PHEV,2017,Vehicles,5
United Kingdom,Historical,EV sales,Buses,FCEV,2017,Vehicles,5
United Kingdom,Historical,EV sales,Trucks,BEV,2017,Vehicles,4
Brazil,Historical,EV sales,Buses,BEV,2017,Vehicles,3
Netherlands,Historical,EV sales,Buses,FCEV,2017,Vehicles,3
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2
Belgium,Historical,EV sales,Buses,PHEV,2017,Vehicles,2
EU27,Historical,EV sales,Trucks,PHEV,2017,Vehicles,2
Finland,Historical,EV sales,Buses,BEV,2017,Vehicles,2
Finland,Historical,EV sales,Trucks,BEV,2017,Vehicles,2
Italy,Historical,EV sales,Vans,PHEV,2017,Vehicles,2
Netherlands,Historical,EV sales,Trucks,PHEV,2017,Vehicles,2
Norway,Historical,EV sales,Trucks,BEV,2017,Vehicles,2
Portugal,Historical,EV sales,Buses,PHEV,2017,Vehicles,2
Spain,Historical,EV sales,Trucks,BEV,2017,Vehicles,2
Switzerland,Historical,EV sales,Buses,BEV,2017,Vehicles,2
Belgium,Historical,EV sales,Vans,PHEV,2017,Vehicles,1
Denmark,Historical,EV sales,Trucks,BEV,2017,Vehicles,1
Netherlands,Historical,EV sales,Vans,FCEV,2017,Vehicles,1
New Zealand,Historical,EV sales,Buses,BEV,2017,Vehicles,1
Switzerland,Historical,EV sales,Cars,FCEV,2017,Vehicles,1
China,Historical,EV sales,Cars,BEV,2018,Vehicles,820000
China,Historical,EV sales,Cars,PHEV,2018,Vehicles,270000
USA,Historical,EV sales,Cars,BEV,2018,Vehicles,240000
EU27,Historical,EV sales,Cars,BEV,2018,Vehicles,140000
USA,Historical,EV sales,Cars,PHEV,2018,Vehicles,120000
EU27,Historical,EV sales,Cars,PHEV,2018,Vehicles,110000
China,Historical,EV sales,Buses,BEV,2018,Vehicles,83000
Korea,Historical,EV sales,Cars,BEV,2018,Vehicles,55000
China,Historical,EV sales,Vans,BEV,2018,Vehicles,54000
Norway,Historical,EV sales,Cars,BEV,2018,Vehicles,46000
United Kingdom,Historical,EV sales,Cars,PHEV,2018,Vehicles,46000
China,Historical,EV sales,Trucks,BEV,2018,Vehicles,36000
Germany,Historical,EV sales,Cars,BEV,2018,Vehicles,36000
France,Historical,EV sales,Cars,BEV,2018,Vehicles,33000
Germany,Historical,EV sales,Cars,PHEV,2018,Vehicles,31000
Japan,Historical,EV sales,Cars,BEV,2018,Vehicles,27000
Norway,Historical,EV sales,Cars,PHEV,2018,Vehicles,27000
Netherlands,Historical,EV sales,Cars,BEV,2018,Vehicles,25000
Canada,Historical,EV sales,Cars,BEV,2018,Vehicles,23000
Japan,Historical,EV sales,Cars,PHEV,2018,Vehicles,23000
Sweden,Historical,EV sales,Cars,PHEV,2018,Vehicles,22000
Canada,Historical,EV sales,Cars,PHEV,2018,Vehicles,21000
EU27,Historical,EV sales,Vans,BEV,2018,Vehicles,20000
United Kingdom,Historical,EV sales,Cars,BEV,2018,Vehicles,16000
France,Historical,EV sales,Cars,PHEV,2018,Vehicles,15000
Belgium,Historical,EV sales,Cars,PHEV,2018,Vehicles,9600
France,Historical,EV sales,Vans,BEV,2018,Vehicles,8200
Sweden,Historical,EV sales,Cars,BEV,2018,Vehicles,7100
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800
Germany,Historical,EV sales,Vans,BEV,2018,Vehicles,6000
Spain,Historical,EV sales,Cars,BEV,2018,Vehicles,6000
Spain,Historical,EV sales,Cars,PHEV,2018,Vehicles,5600
Netherlands,Historical,EV sales,Cars,PHEV,2018,Vehicles,5100
Switzerland,Historical,EV sales,Cars,BEV,2018,Vehicles,5100
Italy,Historical,EV sales,Cars,BEV,2018,Vehicles,5000
Finland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4900
Italy,Historical,EV sales,Cars,PHEV,2018,Vehicles,4700
Korea,Historical,EV sales,Cars,PHEV,2018,Vehicles,4400
New Zealand,Historical,EV sales,Cars,BEV,2018,Vehicles,4400
Switzerland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4400
Portugal,Historical,EV sales,Cars,BEV,2018,Vehicles,4300
Portugal,Historical,EV sales,Cars,PHEV,2018,Vehicles,3900
Belgium,Historical,EV sales,Cars,BEV,2018,Vehicles,3600
Israel,Historical,EV sales,Cars,PHEV,2018,Vehicles,3600
Denmark,Historical,EV sales,Cars,PHEV,2018,Vehicles,3100
Iceland,Historical,EV sales,Cars,PHEV,2018,Vehicles,2900
USA,Historical,EV sales,Cars,FCEV,2018,Vehicles,2700
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800
Norway,Historical,EV sales,Vans,BEV,2018,Vehicles,1800
Spain,Historical,EV sales,Vans,BEV,2018,Vehicles,1800
Mexico,Historical,EV sales,Cars,PHEV,2018,Vehicles,1600
Denmark,Historical,EV sales,Cars,BEV,2018,Vehicles,1500
India,Historical,EV sales,Vans,BEV,2018,Vehicles,1500
United Kingdom,Historical,EV sales,Vans,BEV,2018,Vehicles,1500
Hungary,Historical,EV sales,Cars,BEV,2018,Vehicles,1300
China,Historical,EV sales,Buses,PHEV,2018,Vehicles,1200
Ireland,Historical,EV sales,Cars,BEV,2018,Vehicles,1200
New Zealand,Historical,EV sales,Cars,PHEV,2018,Vehicles,1200
Netherlands,Historical,EV sales,Vans,BEV,2018,Vehicles,1000
India,Historical,EV sales,Cars,BEV,2018,Vehicles,920
Korea,Historical,EV sales,Cars,FCEV,2018,Vehicles,910
China,Historical,EV sales,Buses,FCEV,2018,Vehicles,890
Finland,Historical,EV sales,Cars,BEV,2018,Vehicles,780
Iceland,Historical,EV sales,Cars,BEV,2018,Vehicles,780
Hungary,Historical,EV sales,Cars,PHEV,2018,Vehicles,770
Poland,Historical,EV sales,Cars,PHEV,2018,Vehicles,760
Sweden,Historical,EV sales,Vans,BEV,2018,Vehicles,760
Ireland,Historical,EV sales,Cars,PHEV,2018,Vehicles,740
Czech Republic,Historical,EV sales,Cars,BEV,2018,Vehicles,700
Italy,Historical,EV sales,Vans,BEV,2018,Vehicles,640
EU27,Historical,EV sales,Buses,BEV,2018,Vehicles,620
Poland,Historical,EV sales,Cars,BEV,2018,Vehicles,620
USA,Historical,EV sales,Buses,BEV,2018,Vehicles,620
